review_id,k,scale,theta,tau2,conformal_lo,conformal_hi,conformal_width,standard_lo,standard_hi,standard_width,hksj_lo,hksj_hi,hksj_width,cov_conformal,cov_standard,cov_hksj,width_ratio_conf_std,width_ratio_conf_hksj,conformal_wider
CD011866,28,ratio,-0.1932,0.0154,-1.0964,0.71,1.8063,-0.4704,0.0841,0.5545,-0.4714,0.085,0.5565,0.964,0.643,0.643,3.258,3.246,True
CD011885,7,ratio,0.2229,0.1411,-1.6658,2.1116,3.7774,-0.9297,1.3756,2.3053,-0.8835,1.3294,2.2129,1.0,0.857,0.714,1.639,1.707,True
CD012067,38,ratio,0.6381,1.0609,-3.3917,4.6679,8.0596,-1.487,2.7632,4.2502,-1.4981,2.7742,4.2723,1.0,0.842,0.842,1.896,1.886,True
CD012079,52,ratio,0.4463,0.7012,-2.3985,3.291,5.6895,-1.2772,2.1697,3.4469,-1.2784,2.1709,3.4493,1.0,0.788,0.788,1.651,1.649,True
CD012170,8,difference,-2.0445,14.5461,-22.7542,18.6652,41.4193,-12.2601,8.1711,20.4312,-11.5378,7.4489,18.9867,1.0,1.0,1.0,2.027,2.181,True
CD012178,5,ratio,-0.0913,0,-1.3362,1.1536,2.4899,-1.2717,1.0891,2.3608,-0.8274,0.6448,1.4723,1.0,1.0,0.8,1.055,1.691,True
CD012186,105,ratio,0.2843,0.1822,-1.3181,1.8868,3.2049,-0.5721,1.1407,1.7128,-0.574,1.1426,1.7166,0.895,0.619,0.619,1.871,1.867,True
CD012268,21,difference,-0.1513,0.1552,-5.5282,5.2257,10.7539,-1.0772,0.7747,1.8519,-1.0611,0.7586,1.8197,1.0,0.476,0.476,5.807,5.91,True
CD012445,5,difference,-0.0912,0.1929,-1.352,1.1697,2.5217,-1.6974,1.5151,3.2125,-1.5137,1.3314,2.8451,1.0,1.0,1.0,0.785,0.886,False
CD012503,17,ratio,-0.1657,0.0016,-2.0338,1.7025,3.7362,-0.3451,0.0138,0.3588,-0.3441,0.0128,0.3569,1.0,0.118,0.118,10.413,10.467,True
CD012570,10,ratio,-0.0077,0,-0.1859,0.1705,0.3563,-0.1019,0.0865,0.1885,-0.0762,0.0608,0.137,0.8,0.5,0.3,1.891,2.6,True
CD012586,42,ratio,-0.0578,0,-0.5314,0.4159,0.9473,-0.1212,0.0057,0.1269,-0.1113,-0.0043,0.107,0.929,0.452,0.405,7.465,8.852,True
